unnamed:_0.1,unnamed:_0,fat,saturated_fats,monounsaturated_fats,polyunsaturated_fats,carbohydrates,sugars,protein,dietary_fiber,cholesterol,sodium,water,vitamin_a,vitamin_b1,vitamin_b11,vitamin_b12,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorus,potassium,selenium,zinc,nutrition_density,data_group,food_name,calories
278,278,10.2,0.0,0.0,0.0,0.2,0.2,3.3,0.0,0.0,0.1,11.7,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.0,0.08,0.1,3.1,0.077,46.8,131.6,0.0,0.3,14.8,group3,bacon,106
279,279,76.0,32.6,31.9,5.5,0.0,0.0,53.9,0.0,247.4,0.2,122.1,0.0,0.2,0.084,0.082,0.5,17.2,1.6,0.3,0.0,0.0,0.3,0.0,56.1,0.3,4.1,51.0,0.001,423.3,691.1,0.065,8.9,190.1,group3,lamb rib cooked,915
280,280,61.2,26.3,25.1,4.9,0.0,0.0,84.3,0.0,303.9,0.3,304.7,0.0,0.6,0.033,0.002,1.0,28.2,3.1,0.7,0.0,0.0,1.0,0.0,36.3,0.5,7.8,108.9,0.056,807.4,1183.9,0.068,15.9,189.6,group3,lamb shank raw,912
281,281,3.9,1.3,1.7,0.5,4.0,0.063,2.3,0.052,13.9,0.1,17.7,0.2,0.091,0.032,0.011,0.049,0.6,0.0,0.03,0.7,0.075,0.039,0.057,2.0,0.024,0.5,3.7,0.0,21.5,44.7,0.017,0.3,13.63,group3,scrapple,60
282,282,4.1,0.7,1.5,1.3,3.0,0.039,3.2,0.2,8.6,0.1,9.3,0.015,0.011,0.041,0.064,0.049,0.054,1.2,0.2,0.095,0.1,0.01,0.2,0.058,2.2,0.091,0.2,4.8,0.023,54.4,50.2,0.009,10.792,group3,chicken nuggets,61
283,283,61.5,25.4,26.0,4.4,0.0,0.0,77.5,0.0,303.6,0.3,172.4,0.0,0.3,0.062,0.064,0.8,21.0,2.1,0.4,0.0,0.079,0.4,0.003,68.9,0.4,5.6,75.1,0.071,629.1,1061.1,0.024,14.6,213.5,group3,ground lamb cooked,886
284,284,45.0,18.6,19.1,3.2,0.0,0.0,63.8,0.0,240.0,0.2,139.6,0.0,0.3,0.013,0.068,0.7,16.4,1.7,0.4,0.0,0.0,0.0,0.0,40.0,0.3,4.8,60.0,0.07,482.5,795.0,0.026,11.9,153.6,group3,lamb meat cooked,678
285,285,2.6,0.4,0.6,1.5,33.7,0.0,33.5,15.4,0.0,0.041,6.6,0.0,0.6,0.2,0.065,0.8,19.4,1.3,1.2,0.0,0.0,0.0,0.0,179.5,0.3,10.6,190.1,0.2,562.3,1673.8,0.038,1.9,275.3,group3,meat extender,275
286,286,77.4,33.7,31.8,6.1,0.0,0.0,81.2,0.0,313.0,0.3,291.8,0.0,0.6,0.055,0.042,1.0,28.4,3.1,0.7,0.0,0.0,1.0,0.0,40.8,0.5,7.5,104.3,0.09,771.1,1129.5,0.025,15.1,206.9,group3,lamb leg raw,1043
287,287,14.8,6.3,6.2,1.1,0.0,0.0,16.1,0.0,64.0,0.089,33.0,0.0,0.034,0.003,0.014,0.2,4.5,0.4,0.013,0.0,0.024,0.087,0.062,12.8,0.068,1.2,15.4,0.09,125.4,209.3,0.039,2.2,44.9,group3,lamb loin cooked,202
288,288,11.7,2.2,5.0,2.9,7.7,0.0,8.9,0.2,25.8,0.3,30.5,0.0,0.067,0.063,0.072,0.042,2.9,0.7,0.1,0.0,0.0,0.8,0.082,11.4,0.056,0.6,14.4,0.2,124.8,156.6,0.014,0.6,40.5,group3,chicken patty,172
289,289,33.5,13.7,14.2,2.4,0.0,0.0,71.0,0.0,242.1,0.2,163.2,0.0,0.3,0.085,0.051,0.7,17.6,1.9,0.4,0.0,0.0,0.4,0.0,26.9,0.3,5.3,67.3,0.089,532.6,876.9,0.057,12.5,136.7,group3,lamb shank roasted,605
290,290,2.0,0.7,1.0,0.2,1.5,0.0,3.6,0.0,8.5,0.3,14.9,0.0,0.042,0.038,0.039,0.086,0.5,0.4,0.07,0.0,0.099,0.0,0.0,12.7,0.029,0.3,3.9,0.089,30.4,75.7,0.009,0.6,20.1,group3,barbecue loaf,40
291,291,54.2,22.9,22.8,3.9,0.0,0.0,64.5,0.0,254.1,0.2,141.8,0.0,0.3,0.086,0.086,0.7,17.3,1.8,0.4,0.0,0.0,0.3,0.0,28.8,0.3,5.2,57.6,0.028,479.5,788.6,0.089,10.8,152.7,group3,lamb sirloin cooked,765
292,292,1.8,0.4,0.4,0.8,1.0,0.0,1.5,0.0,3.9,0.079,8.6,0.084,0.066,0.093,0.037,0.081,0.2,0.011,0.009,0.1,0.063,0.3,0.0,1.3,0.072,0.097,1.3,0.049,4.3,23.8,0.024,0.1,5.781,group3,poultry salad,26
293,293,6.6,2.9,2.7,0.5,0.0,0.0,4.7,0.0,20.7,0.05,16.8,0.0,0.021,0.012,0.01,0.055,1.7,0.2,0.022,0.0,0.028,0.044,0.06,4.5,0.099,0.4,5.9,0.017,44.4,62.8,0.07,1.0,16.2,group3,ground lamb raw,80
294,294,7.5,3.3,3.1,0.6,0.0,0.0,4.6,0.0,20.9,0.003,16.0,0.0,0.088,0.003,0.065,0.061,1.8,0.2,0.074,0.0,0.0,0.042,0.0,4.2,0.049,0.5,5.9,0.027,43.0,60.6,0.023,0.7,16.8,group3,lamb loin raw,88
295,295,100.3,44.1,41.2,7.8,0.0,0.0,76.8,0.0,326.6,0.3,273.5,0.0,0.5,0.027,0.072,1.0,28.8,3.2,0.6,0.0,0.0,1.0,0.0,45.4,0.5,7.3,99.8,0.024,721.2,1047.8,0.056,14.0,229.8,group3,lamb sirloin raw,1234
296,296,11.2,3.6,4.7,1.4,0.4,0.1,4.3,0.0,20.9,0.2,11.7,0.0,0.008,0.0,0.025,0.01,1.3,0.2,0.077,0.0,0.0,0.0,0.0,6.5,0.017,0.3,4.5,0.038,39.6,75.8,0.0,0.4,22.7,group3,sausage patty mcdonalds,115
297,297,19.9,8.3,8.4,1.4,0.0,0.0,42.0,0.0,156.9,0.1,84.1,0.0,0.087,0.026,0.008,0.3,8.1,0.9,0.1,0.0,0.002,0.3,0.091,29.6,0.2,3.2,32.6,0.024,245.7,380.4,0.087,11.4,94.7,group3,lamb foreshank cooked,360
298,298,7.0,2.3,3.2,1.2,4.8,0.0,3.9,0.0,16.7,0.5,28.2,0.0,0.2,0.084,0.039,0.006,0.9,0.1,0.047,0.0,0.012,0.8,0.0,3.6,0.065,0.3,4.5,0.083,54.0,67.5,0.059,0.5,19.6,group3,ham salad,97
299,299,156.0,68.8,64.1,12.2,0.0,0.0,65.9,0.0,344.7,0.3,230.4,0.0,0.5,0.044,0.009,0.9,27.6,2.8,0.5,0.0,0.0,0.8,0.0,68.0,0.4,6.3,81.6,0.015,621.4,861.8,0.019,12.3,296.2,group3,lamb rib raw,1687
300,300,97.3,42.1,39.9,7.8,0.0,0.0,75.2,0.0,326.6,0.3,278.5,0.0,0.5,0.035,0.07,1.0,25.7,3.1,0.6,0.0,0.015,1.0,0.041,72.6,0.4,6.8,95.3,0.023,716.7,1043.3,0.02,17.9,251.9,group3,lamb shoulder raw,1198
301,301,84.6,36.6,34.7,6.7,0.0,0.0,79.6,0.0,317.5,0.3,286.5,0.0,0.5,0.016,0.021,1.0,27.5,3.1,0.6,0.0,0.0,0.0,0.0,54.4,0.5,7.3,99.8,0.01,753.0,1084.1,0.078,16.0,225.9,group3,lamb meat raw,1102
302,302,53.5,22.5,21.9,4.4,0.0,0.0,62.5,0.0,252.9,0.2,98.5,0.0,0.2,0.041,0.024,0.5,13.8,1.3,0.2,0.0,0.0,0.3,0.0,54.5,0.3,5.2,52.3,0.04,405.5,540.6,0.094,13.9,175.7,group3,lamb shoulder cooked,750
303,303,3.1,1.5,1.3,0.2,0.027,0.0,9.5,0.0,30.8,0.07,15.3,0.0,0.036,0.0,0.066,0.027,1.8,0.3,0.1,0.0,0.0,0.2,0.0,2.8,0.068,1.3,8.8,0.0,77.0,115.7,0.094,1.7,16.744,group3,mutton cooked,66
304,304,43.7,18.3,18.4,3.1,0.0,0.0,67.7,0.0,246.5,0.2,152.3,0.0,0.3,0.058,0.065,0.7,17.5,1.8,0.4,0.0,0.099,0.4,0.025,29.2,0.3,5.2,63.6,0.071,506.2,829.5,0.064,11.7,145.8,group3,lamb leg cooked,684
305,305,9.9,4.2,4.1,0.9,1.1,0.0,4.3,0.0,26.6,0.3,3.8,0.0,0.071,0.0,0.002,0.063,0.9,0.016,0.024,1.4,0.0,0.0,0.0,13.6,0.097,0.7,4.2,0.007,36.0,51.4,0.0,0.5,31.0,group3,beef stick,110
306,306,26.9,10.6,10.6,1.8,0.0,0.0,64.1,0.0,221.4,0.2,111.7,0.0,0.1,0.032,0.048,0.7,13.5,2.1,0.7,0.0,0.0,0.8,0.0,34.9,0.3,2.5,55.4,0.072,498.2,658.1,0.058,8.9,128.4,group3,veal sirloin cooked,517
307,307,22.2,8.8,8.2,1.7,0.0,0.0,57.4,0.0,246.0,0.2,94.4,0.0,0.033,0.058,0.057,0.5,13.3,1.9,0.6,0.0,0.0,0.6,0.092,38.9,0.2,2.5,44.3,0.076,371.7,541.6,0.046,9.9,121.0,group3,veal rib cooked,444
308,308,23.8,8.9,9.2,1.7,0.0,0.0,62.9,0.0,238.3,0.2,119.3,0.0,0.1,0.064,0.057,0.7,16.7,2.6,0.6,0.0,0.0,0.8,0.069,46.0,0.2,2.4,54.3,0.084,499.5,679.3,0.061,9.9,135.1,group3,veal meat cooked,483
309,309,19.1,7.7,8.2,0.7,0.0,0.0,15.4,0.0,57.0,0.01,32.0,0.0,0.049,0.075,0.031,0.1,2.5,0.2,0.2,0.0,0.037,0.2,0.015,6.7,0.086,1.6,13.4,0.062,115.9,196.3,0.01,3.9,42.8,group3,beef rib roasted,238
310,310,35.4,15.2,13.8,2.3,0.0,0.0,86.5,0.0,353.8,0.3,325.9,0.0,0.4,0.016,0.004,1.4,38.3,6.2,2.2,0.0,0.0,1.1,0.093,49.9,0.5,3.5,108.9,0.1,948.0,1492.3,0.004,11.6,175.3,group3,veal sirloin raw,689
311,311,19.0,6.5,8.6,0.6,0.8,0.0,37.0,0.0,116.1,0.1,76.7,0.9,0.063,0.1,0.018,0.016,0.4,5.6,0.0,0.6,0.0,0.03,0.0,0.019,9.5,0.2,4.5,36.5,0.0,318.6,507.6,0.077,58.507,group3,beef top loin filet grilled,323
312,312,46.7,17.9,22.6,2.3,0.0,0.0,140.8,0.0,480.4,0.3,260.9,1.9,0.002,0.3,0.03,0.068,1.1,17.9,3.5,1.5,0.0,0.022,0.4,0.044,62.9,0.5,14.4,98.8,0.085,929.4,1382.9,0.2,191.483,group3,beef under blade steak cooked,983
313,313,8.3,3.6,4.3,0.7,0.0,0.0,42.2,0.0,132.7,0.2,145.9,0.069,0.2,0.085,0.011,0.4,7.1,1.7,0.8,0.0,0.055,0.4,0.099,21.8,0.2,4.8,49.5,0.087,445.5,685.1,0.032,15.8,77.128,group3,mock tender steak raw,244
314,314,24.8,10.0,12.0,0.7,0.0,0.0,35.5,0.0,122.3,0.1,77.5,1.6,0.0,0.007,0.098,0.06,0.3,6.8,1.1,0.6,0.0,0.0,0.7,0.052,57.0,0.1,3.4,27.8,0.044,280.8,455.9,0.081,62.697,group3,ground beef cooked,375
315,315,136.1,51.2,59.7,3.2,0.0,0.0,65.1,0.0,353.8,0.3,246.7,0.0,0.2,0.071,0.004,0.6,15.3,1.9,1.3,0.0,0.0,2.2,0.004,108.9,0.2,7.4,63.5,0.045,598.8,988.8,0.001,16.2,317.5,group3,ground beef raw,1506
316,316,0.7,0.3,0.0,0.0,10.5,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,group3,beef diced asda,48
317,317,40.9,16.8,15.6,2.9,0.0,0.0,85.5,0.0,372.0,0.4,322.7,0.0,0.3,0.082,0.085,1.0,30.3,5.1,1.9,0.0,0.0,1.0,0.0,59.0,0.5,3.9,99.8,0.1,834.6,1315.4,0.045,14.7,189.3,group3,veal rib raw,735
318,318,1.9,0.8,0.7,0.1,0.0,0.0,5.5,0.0,23.2,0.029,20.6,0.0,0.093,0.005,0.045,0.095,2.1,0.4,0.1,0.0,0.0,0.086,0.0,4.2,0.048,0.2,6.8,0.026,57.4,89.1,0.076,0.9,11.8,group3,ground veal raw,41
319,319,74.1,30.3,33.3,3.3,0.0,0.0,89.3,0.0,301.3,0.2,197.8,4.6,0.0,0.2,0.042,0.046,0.8,19.9,1.1,2.4,0.0,0.095,0.0,0.0,69.0,0.2,11.8,65.3,0.001,729.6,900.2,0.041,170.6,group3,t bone steak cooked,1049
320,320,14.0,5.4,5.1,1.1,0.0,0.0,95.2,0.0,353.8,0.3,339.3,0.0,0.4,0.064,0.019,1.2,42.7,4.9,2.1,0.0,0.0,1.4,0.03,22.7,0.5,3.6,117.9,0.1,997.9,1664.7,0.005,10.4,135.5,group3,veal leg round raw,531
321,321,77.3,31.2,33.1,2.9,0.0,0.0,123.4,0.0,456.0,0.3,401.8,0.0,0.4,0.016,0.001,0.6,36.4,3.6,3.4,0.0,0.0,2.2,0.066,145.9,0.4,9.0,127.7,0.074,1137.0,1915.2,0.1,21.6,355.6,group3,beef top sirloin steak raw,1222
322,322,35.6,12.9,14.3,2.0,0.0,0.0,47.1,0.0,177.5,0.1,89.5,1.7,0.021,0.2,0.017,0.054,1.4,8.9,2.3,0.8,0.0,0.011,0.2,0.047,13.9,0.4,8.9,41.8,0.4,321.9,487.2,0.088,85.652,group3,beef plate steak grilled,508
323,323,22.6,9.1,8.5,1.6,0.0,0.0,72.9,0.0,308.0,0.2,199.6,0.0,0.2,0.03,0.032,0.8,24.0,3.5,1.2,0.0,0.0,0.4,0.006,50.8,0.3,3.0,71.8,0.1,648.8,1007.6,0.011,11.6,149.3,group3,ground veal cooked,514
324,324,17.2,6.9,6.4,1.3,0.0,0.0,98.4,0.0,364.5,0.2,150.9,0.0,0.2,0.067,0.072,1.0,28.7,2.8,1.0,0.0,0.0,1.3,0.096,21.8,0.4,3.6,78.9,0.1,677.3,1041.8,0.089,10.8,141.0,group3,veal leg round cooked,574
325,325,91.1,36.4,40.6,3.4,0.0,0.0,81.6,0.0,308.4,0.2,273.1,0.0,0.5,0.095,0.02,0.8,15.9,1.4,1.7,0.0,0.0,0.0,0.0,27.2,0.3,8.8,86.2,0.011,762.0,1338.1,0.013,14.3,208.7,group3,porterhouse steak raw,1170
326,326,15.8,4.8,5.7,1.6,0.0,0.0,86.9,0.0,340.2,0.4,348.9,0.0,0.4,0.075,0.035,1.2,33.8,5.9,2.0,0.0,0.0,0.0,0.0,90.7,0.3,3.4,95.3,0.009,866.4,1424.3,0.068,18.1,196.8,group3,veal shank raw,513
327,327,47.5,18.5,22.7,3.2,0.0,0.0,76.3,0.0,319.8,0.2,158.3,0.0,0.2,0.089,0.081,0.8,22.6,2.9,0.7,0.0,0.0,0.0,0.0,25.5,0.2,2.2,56.6,0.027,540.5,769.8,0.057,10.3,151.5,group3,veal breast cooked,753
328,328,3.1,1.3,1.3,0.1,0.0,0.0,5.7,0.0,18.1,0.2,12.1,0.0,0.076,0.057,0.018,0.049,0.5,0.1,0.032,0.0,0.016,0.02,0.041,2.5,0.012,0.4,2.9,0.092,23.3,28.6,0.054,0.7,11.7,group3,corned beef canned,53
329,329,47.7,21.2,23.0,2.2,0.0,0.0,62.4,0.0,195.8,0.1,139.5,0.047,0.2,0.036,0.002,0.8,12.9,0.0,1.3,0.0,0.032,0.0,0.065,30.1,0.2,6.0,57.7,0.0,409.1,700.3,0.085,15.9,146.262,group3,rib eye steak grilled,680
330,330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,group3,veal shoulder raw,0
331,331,76.3,30.4,33.9,2.8,0.0,0.0,85.7,0.0,281.2,0.2,282.5,0.0,0.5,0.007,0.038,0.8,16.4,1.4,1.7,0.0,0.0,0.0,0.0,27.2,0.4,9.5,90.7,0.034,784.7,1397.1,0.044,14.7,198.7,group3,t bone steak raw,1052
332,332,14.1,5.2,6.1,1.1,0.0,0.0,49.5,0.0,144.4,0.6,99.9,0.6,0.0,0.1,0.0,0.051,0.6,9.4,1.5,1.1,0.0,0.0,0.9,0.0,16.6,0.2,4.3,44.8,0.082,381.8,629.1,0.083,65.5,group3,sirloin steak,324
333,333,4.9,1.5,2.3,0.3,0.0,0.0,21.9,0.0,55.3,0.028,55.7,0.0,0.09,0.025,0.063,0.2,3.1,0.0,0.3,0.0,0.0,0.1,0.0,6.8,0.1,2.6,19.6,0.0,198.9,249.1,0.073,6.7,36.2,group3,mock tender steak cooked,137
334,334,12.1,4.3,5.1,0.5,0.0,0.0,64.8,0.0,174.3,0.011,126.8,0.0,0.1,0.032,0.042,0.3,11.3,1.3,0.9,0.0,0.0,0.8,0.064,14.4,0.2,5.2,41.0,0.033,395.7,516.6,0.091,10.7,96.5,group3,beef round steak cooked,385
335,335,88.0,35.5,38.6,3.2,0.0,0.0,77.8,0.0,322.1,0.3,277.7,0.0,0.5,0.04,0.028,0.8,9.9,1.3,1.6,0.0,0.0,0.0,0.0,45.4,0.3,9.3,77.1,0.056,734.8,1229.3,0.049,22.6,220.5,group3,chuck blade roast raw,1125
336,336,17.3,7.5,9.0,1.8,0.0,0.0,48.2,0.0,164.9,0.2,171.8,0.014,0.2,0.082,0.021,0.6,9.2,2.2,1.0,0.0,0.017,0.4,0.06,28.7,0.2,6.0,45.4,0.02,480.4,800.7,0.09,18.0,100.218,group3,beef shoulder steak raw,349
337,337,10.0,3.3,4.6,0.4,0.0,0.0,21.9,0.0,51.9,0.002,52.3,0.0,0.1,0.016,0.095,0.2,3.2,0.8,0.3,0.0,0.0,0.1,0.0,6.0,0.057,2.3,20.4,0.0,181.9,254.2,0.098,7.4,40.2,group3,beef top blade cooked,184
338,338,4.0,1.3,1.9,0.1,0.006,0.0,3.8,0.0,20.6,0.2,12.6,0.0,0.048,0.094,0.066,0.027,0.6,0.082,0.034,0.0,0.015,0.022,0.096,1.7,0.009,0.4,2.5,0.025,26.3,30.5,0.034,1.0,9.905,group3,corned beef cooked,53
339,339,36.0,14.2,15.5,1.4,0.0,0.0,100.1,0.0,313.0,0.3,313.2,0.0,0.4,0.079,0.067,0.6,29.9,2.9,3.0,0.0,0.0,1.5,0.079,95.3,0.4,8.4,108.9,0.035,961.6,1583.1,0.1,18.5,239.8,group3,beef round steak raw,753
340,340,5.8,2.5,3.0,0.6,0.0,0.0,24.0,0.0,68.9,0.014,54.4,0.063,0.083,0.043,0.055,0.2,4.7,0.7,0.6,0.0,0.012,0.072,0.067,10.2,0.056,2.5,21.3,0.03,208.3,311.1,0.084,6.8,42.589,group3,beef shoulder steak grilled,155
341,341,62.8,26.7,29.7,4.5,0.0,0.0,72.4,0.0,261.1,0.3,247.6,0.095,0.3,0.017,0.03,0.6,16.7,2.5,1.4,0.0,0.047,0.6,0.077,53.8,0.2,8.1,73.0,0.007,687.4,1263.4,0.097,27.9,197.159,group3,chuck eye steak raw,856
342,342,35.1,12.1,14.7,1.5,0.0,0.0,155.8,0.0,426.4,0.2,261.0,0.0,0.4,0.045,0.014,0.9,28.0,3.1,2.1,0.0,0.075,2.0,0.091,31.8,0.4,13.0,104.3,0.038,984.3,1279.2,0.2,26.8,235.7,group3,beef bottom round steak cooked,980
343,343,16.4,6.2,7.4,0.6,0.0,0.0,20.4,0.0,57.0,0.085,46.5,0.0,0.099,0.069,0.024,0.2,3.6,0.3,0.3,0.0,0.0,0.2,0.0,6.0,0.1,2.5,18.7,0.095,164.1,254.2,0.087,3.9,45.3,group3,porterhouse steak cooked,235
344,344,80.8,32.6,37.4,5.9,0.0,0.0,126.8,0.0,431.0,0.3,241.6,0.057,0.3,0.061,0.091,1.0,16.9,3.3,1.4,0.0,0.093,0.4,0.076,62.9,0.4,12.6,89.8,0.036,812.7,1225.8,0.1,42.9,283.198,group3,beef under blade steak raw,1235
345,345,46.8,19.0,20.6,2.3,0.9,0.0,47.8,0.0,188.9,0.2,168.0,0.071,0.3,0.089,0.058,1.5,10.9,3.0,1.0,0.0,0.008,0.4,0.016,16.0,0.5,9.1,50.5,0.5,377.7,643.7,0.048,12.6,120.656,group3,beef plate steak raw,617
346,346,7.9,3.9,3.6,0.4,0.0,0.0,9.2,0.0,34.7,0.095,27.5,0.0,0.037,0.013,0.037,0.082,1.9,0.041,0.041,0.0,0.0,0.9,0.018,4.5,0.079,1.0,7.2,0.088,63.0,102.2,0.055,2.2,22.6,group3,beef meat canned,111
347,347,8.8,3.6,4.2,0.5,0.2,0.0,2.8,0.0,18.5,0.2,10.2,0.0,0.068,0.067,0.027,0.074,0.7,0.078,0.078,5.4,0.0,0.0,0.0,0.9,0.013,0.3,2.5,0.031,22.6,34.6,0.033,0.5,18.4,group3,beef breakfast strips raw,92
348,348,43.6,16.8,19.4,1.5,0.0,0.0,46.0,0.0,165.5,0.1,88.3,0.0,0.1,0.026,0.021,0.4,5.8,0.6,0.5,0.0,0.041,0.3,0.082,12.5,0.2,4.4,35.6,0.076,368.5,446.8,0.063,10.3,106.5,group3,beef brisket cooked,589
349,349,67.6,21.5,32.6,2.4,0.6,0.0,66.6,0.0,244.9,5.5,301.9,0.0,0.2,0.007,0.006,0.7,16.6,2.6,1.3,122.5,0.0,0.0,0.0,31.8,0.5,7.7,63.5,0.012,530.7,1347.2,0.07,12.9,296.8,group3,corned beef raw,898
350,350,3.1,1.3,0.0,0.0,6.8,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,group3,beef mince meat asda,55
351,351,0.1,0.0,0.036,0.099,0.1,0.0,1.9,0.0,4.5,0.005,7.1,0.0,0.04,0.076,0.051,0.043,0.5,0.073,0.079,3.3,0.0,0.0,0.0,0.9,0.078,0.3,1.7,0.047,14.3,21.7,0.044,0.4,6.6,group3,pastrami beef fat free,9
352,352,54.5,24.0,25.7,2.6,0.4,0.0,62.8,0.0,221.7,0.2,205.4,0.087,0.3,0.025,0.039,0.8,15.6,0.0,1.3,0.0,0.088,0.0,0.076,26.1,0.2,5.9,65.2,0.0,446.6,802.0,0.01,16.2,149.722,group3,rib eye steak raw,743
353,353,24.0,9.4,10.0,0.9,0.0,0.0,37.0,0.0,135.8,0.061,78.5,0.0,0.1,0.016,0.067,0.2,9.9,0.7,0.8,0.0,0.028,0.7,0.028,26.6,0.1,2.4,30.8,0.076,287.0,460.6,0.018,6.7,90.0,group3,beef tenderloin steak cooked,374
354,354,62.0,24.7,26.8,2.2,0.0,0.0,66.1,0.0,256.9,0.2,117.7,0.0,0.2,0.005,0.024,0.6,6.0,0.8,0.6,0.0,0.003,0.5,0.006,32.1,0.3,7.7,46.9,0.089,498.9,575.5,0.061,20.8,167.9,group3,chuck blade roast cooked,842
355,355,0.019,0.086,0.088,0.007,0.06,0.006,0.9,0.0,2.2,0.049,1.5,0.0,0.017,0.058,0.025,0.002,0.1,0.065,0.032,0.0,0.0,0.026,0.087,0.2,0.091,0.004,0.5,0.018,5.1,6.6,0.01,0.1,1.333,group3,cured beef dried,4
356,356,17.5,7.2,7.1,0.7,0.0,0.0,51.8,0.0,152.3,0.068,119.1,0.0,0.1,0.021,0.003,0.2,14.0,1.0,1.0,0.0,0.0,0.7,0.069,33.8,0.2,3.4,41.4,0.095,377.9,612.9,0.073,9.0,106.5,group3,beef flank steak cooked,380
357,357,60.5,26.7,29.1,4.4,0.0,0.0,76.9,0.0,268.0,0.2,170.1,4.0,0.012,0.2,0.083,0.085,0.6,14.4,2.3,1.1,0.0,0.093,0.3,0.02,49.3,0.2,7.5,67.8,0.045,594.4,1001.0,0.012,142.79,group3,chuck eye steak grilled,853
358,358,30.7,12.7,11.7,2.2,0.0,0.0,87.8,0.0,372.0,0.4,330.4,0.0,0.4,0.097,0.061,1.2,34.0,5.9,1.9,0.0,0.0,1.2,0.0,68.0,0.5,3.8,108.9,0.1,920.8,1428.8,0.095,13.9,190.3,group3,veal meat raw,653
359,359,4.9,1.9,1.9,0.3,0.0,0.0,8.5,0.0,33.4,0.001,14.7,0.0,0.011,0.096,0.069,0.053,2.6,0.2,0.039,0.0,0.0,0.1,0.049,7.9,0.074,0.3,6.8,0.047,62.3,79.2,0.082,1.0,21.6,group3,veal loin cooked,80
360,360,2.6,1.1,1.0,0.2,0.0,0.0,5.3,0.0,22.4,0.079,19.9,0.0,0.025,0.033,0.072,0.091,2.4,0.4,0.1,0.0,0.0,0.02,0.094,4.5,0.027,0.2,6.5,0.07,56.3,86.0,0.089,0.7,12.6,group3,veal loin raw,46
361,361,19.4,7.2,7.4,1.4,0.0,0.0,61.2,0.0,240.7,0.2,107.7,0.0,0.1,0.049,0.005,0.6,12.3,2.9,0.5,0.0,0.0,0.8,0.06,66.9,0.3,2.7,51.6,0.037,477.5,590.2,0.091,12.6,150.2,group3,veal shoulder cooked,435
362,362,29.8,12.0,12.7,1.1,0.0,0.0,32.2,0.0,139.4,0.032,100.9,0.0,0.1,0.087,0.098,0.2,9.5,0.9,0.9,0.0,0.0,0.7,0.056,37.7,0.1,2.3,32.8,0.094,295.2,495.3,0.049,5.6,102.0,group3,beef tenderloin steak raw,405
363,363,12.0,4.0,4.5,1.0,0.0,0.0,61.2,0.0,240.6,0.2,119.8,0.0,0.062,0.018,0.016,0.6,18.3,2.4,0.5,0.0,0.0,0.0,0.0,64.0,0.2,2.4,48.5,0.017,436.5,591.7,0.099,12.9,139.6,group3,veal shank cooked,371
364,364,86.5,34.2,38.6,3.0,0.0,0.0,83.6,0.0,308.4,0.3,277.1,0.0,0.4,0.036,0.016,0.7,15.8,1.4,1.7,0.0,0.0,0.0,0.0,27.2,0.3,7.7,86.2,0.034,802.9,1279.2,0.033,16.8,205.0,group3,beef brisket raw,1139
365,365,4.1,1.9,1.5,0.1,0.3,0.08,15.5,0.0,48.3,0.8,49.4,0.0,0.084,0.031,0.072,0.1,3.0,0.2,0.2,0.2,0.09,0.085,0.038,7.1,0.024,1.6,12.1,0.048,124.3,149.1,0.075,3.5,28.8,group3,pastrami beef,104
366,366,2.3,1.0,1.0,0.038,0.0,0.0,6.0,0.0,19.2,0.054,19.7,0.0,0.082,0.05,0.046,0.07,1.9,0.2,0.2,0.0,0.097,0.034,0.072,7.6,0.095,0.4,6.2,0.061,54.6,93.4,0.076,1.1,16.3,group3,beef flank steak raw,47
367,367,25.2,9.9,10.5,1.0,0.0,0.0,47.7,0.0,162.8,0.055,103.3,0.0,0.1,0.075,0.072,0.2,12.7,0.9,1.0,0.0,0.009,0.8,0.069,35.4,0.1,3.1,38.9,0.063,369.9,594.7,0.026,8.6,111.4,group3,beef top sirloin steak cooked,430
368,368,66.9,26.7,32.5,4.3,0.0,0.0,79.2,0.0,322.1,0.3,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8,0.4,2.4,81.6,0.046,780.2,1297.3,0.007,10.6,180.3,group3,veal breast raw,943
